# name	module	support lane	owner
SCALE_SEQUENTIAL	moxi_plot.plot_point	provisional	typed plotting data, specification, or runtime
SCALE_SYMLOG	moxi_plot.plot_point	provisional	typed plotting data, specification, or runtime
SCALE_TEMPORAL	moxi_plot.plot_point	provisional	typed plotting data, specification, or runtime
SCALE_THRESHOLD	moxi_plot.plot_point	provisional	typed plotting data, specification, or runtime
PlotPoint	moxi_plot.plot_point	provisional	typed plotting data, specification, or runtime
PlotScale	moxi_plot.plot_point	provisional	typed plotting data, specification, or runtime
PlotHit	moxi_plot.plot_series	provisional	typed plotting data, specification, or runtime
PlotSeries	moxi_plot.plot_series	provisional	typed plotting data, specification, or runtime
Plot	moxi_plot.plotting	provisional	typed plotting data, specification, or runtime
COLUMN_BOOL	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
COLUMN_DURATION	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
COLUMN_CATEGORY	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
COLUMN_FLOAT64	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
COLUMN_FLOAT32	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
COLUMN_INT64	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
COLUMN_STRING	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
COLUMN_TIMESTAMP	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
PlotColumn	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
PlotDataSnapshot	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
PlotDataTable	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
PlotDataView	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
column_kind_name	moxi_plot.plot_data	provisional	typed plotting data, specification, or runtime
CHANNEL_ANGLE	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_COLOR	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_COLUMN	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_DETAIL	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_FACET	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_FILL	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_HREF	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_KEY	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
CHANNEL_OPACITY	moxi_plot.plot_spec_names	provisional	typed plotting data, specification, or runtime
