# name	kind	replacement	introduced	remove_after
DEMO_LIVE_SCRIPT_ID_OFFSET	moved	moxi_demo.DEMO_LIVE_SCRIPT_ID_OFFSET	0.6	never
DEMO_LIVE_SCRIPT_SLOT_ID	moved	moxi_demo.DEMO_LIVE_SCRIPT_SLOT_ID	0.6	never
DEMO_METAL_SCENE_ID	moved	moxi_demo.DEMO_METAL_SCENE_ID	0.6	never
DEMO_METAL_WINDOW_ID	moved	moxi_demo.DEMO_METAL_WINDOW_ID	0.6	never
DEMO_NAV_PORTAL_ID	moved	moxi_demo.DEMO_NAV_PORTAL_ID	0.6	never
DEMO_NAV_TREE_ID	moved	moxi_demo.DEMO_NAV_TREE_ID	0.6	never
DEMO_NESTED_ID	moved	moxi_demo.DEMO_NESTED_ID	0.6	never
DEMO_PAGE_ALIGNMENT	moved	moxi_demo.DEMO_PAGE_ALIGNMENT	0.6	never
DEMO_PAGE_CAPABILITY_WALKTHROUGH	moved	moxi_demo.DEMO_PAGE_CAPABILITY_WALKTHROUGH	0.6	never
DEMO_PAGE_COMPOSED	moved	moxi_demo.DEMO_PAGE_COMPOSED	0.6	never
DEMO_PAGE_COUNTER	moved	moxi_demo.DEMO_PAGE_COUNTER	0.6	never
DEMO_PAGE_FORM	moved	moxi_demo.DEMO_PAGE_FORM	0.6	never
DEMO_PAGE_FRACTAL	moved	moxi_demo.DEMO_PAGE_FRACTAL	0.6	never
DEMO_PAGE_INTERACTION	moved	moxi_demo.DEMO_PAGE_INTERACTION	0.6	never
DEMO_PAGE_LIVE_SCRIPT	moved	moxi_demo.DEMO_PAGE_LIVE_SCRIPT	0.6	never
DEMO_PAGE_NESTED	moved	moxi_demo.DEMO_PAGE_NESTED	0.6	never
DEMO_PAGE_QUICKSTART_ID	moved	moxi_demo.DEMO_PAGE_QUICKSTART_ID	0.6	never
DEMO_PAGE_ROW	moved	moxi_demo.DEMO_PAGE_ROW	0.6	never
DEMO_PAGE_SHOWCASE	moved	moxi_demo.DEMO_PAGE_SHOWCASE	0.6	never
DEMO_PAGE_STATIC	moved	moxi_demo.DEMO_PAGE_STATIC	0.6	never
DEMO_PAGE_THEME_SHOWCASE	moved	moxi_demo.DEMO_PAGE_THEME_SHOWCASE	0.6	never
DEMO_PAGE_WRAPPED	moved	moxi_demo.DEMO_PAGE_WRAPPED	0.6	never
DEMO_PAGE_WX_STYLE	moved	moxi_demo.DEMO_PAGE_WX_STYLE	0.6	never
DEMO_PLOT_GALLERY_ID	moved	moxi_demo.DEMO_PLOT_GALLERY_ID	0.6	never
DEMO_PLOT_ID	moved	moxi_demo.DEMO_PLOT_ID	0.6	never
DEMO_PLOT_SVG_ID	moved	moxi_demo.DEMO_PLOT_SVG_ID	0.6	never
DEMO_RESET_BUTTON_ID	moved	moxi_demo.DEMO_RESET_BUTTON_ID	0.6	never
DEMO_ROW_ID	moved	moxi_demo.DEMO_ROW_ID	0.6	never
DEMO_RUN_BUTTON_ID	moved	moxi_demo.DEMO_RUN_BUTTON_ID	0.6	never
DEMO_SEARCH_ID	moved	moxi_demo.DEMO_SEARCH_ID	0.6	never
DEMO_SHOWCASE_ID_OFFSET	moved	moxi_demo.DEMO_SHOWCASE_ID_OFFSET	0.6	never
DEMO_SHOWCASE_SLOT_ID	moved	moxi_demo.DEMO_SHOWCASE_SLOT_ID	0.6	never
DEMO_SOURCE_TEXT_ID	moved	moxi_demo.DEMO_SOURCE_TEXT_ID	0.6	never
DEMO_STORY_CODE_TEXT_ID	moved	moxi_demo.DEMO_STORY_CODE_TEXT_ID	0.6	never
DEMO_STORY_SPLIT_ID	moved	moxi_demo.DEMO_STORY_SPLIT_ID	0.6	never
DEMO_TAB_DEMO	moved	moxi_demo.DEMO_TAB_DEMO	0.6	never
DEMO_TAB_DEMO_ID	moved	moxi_demo.DEMO_TAB_DEMO_ID	0.6	never
DEMO_TAB_OVERVIEW	moved	moxi_demo.DEMO_TAB_OVERVIEW	0.6	never
DEMO_TAB_OVERVIEW_ID	moved	moxi_demo.DEMO_TAB_OVERVIEW_ID	0.6	never
DEMO_TAB_SOURCE	moved	moxi_demo.DEMO_TAB_SOURCE	0.6	never
